IlmnID,chrom,pos,prc2
cg05362516,chr8,92358162,2.2486300468444824
cg22750057,chr14,70079611,2.2186501026153564
cg27009703,chr6,52225922,2.2186501026153564
cg24500832,chr15,102981892,1.9488199949264526
cg20568292,chr14,70079776,1.9188300371170044
cg03469153,chr13,51567279,1.9188300371170044
cg13775517,chr15,102981817,1.8888499736785889
cg01753854,chr5,33431072,1.8888499736785889
cg21777070,chr12,56534950,1.858870029449463
cg13985448,chr4,115056666,1.858870029449463
cg01739251,chr4,115056660,1.8288899660110474
cg09474015,chr6,52225754,1.8288899660110474
cg00900456,chr13,55828507,1.8288899660110474
cg12763898,chr14,122450761,1.8288899660110474
cg06368075,chr14,122450752,1.8288899660110474
cg12158066,chr14,70078083,1.8288899660110474
cg25607172,chr19,43614566,1.7989100217819214
cg10670873,chr8,92460638,1.7989100217819214
cg26245705,chr14,122450754,1.7989100217819214
cg11373055,chr14,70078543,1.7989100217819214
cg16083580,chr15,102982150,1.7989100217819214
cg05681548,chr2,33639525,1.7989100217819214
cg07504616,chr8,115706606,1.7989100217819214
cg21833579,chr15,102981819,1.7989100217819214
cg15682828,chr14,122476515,1.7689199447631836
cg14522627,chr14,70078538,1.7689199447631836
cg25618106,chr2,33639563,1.7689199447631836
cg00409684,chr19,45231295,1.7689199447631836
cg04504095,chr13,31807215,1.7689199447631836
cg23923649,chr14,119138489,1.7389400005340576
cg06197482,chr8,84799616,1.7389400005340576
cg25829532,chr2,33639583,1.7389400005340576
cg10491556,chr7,131543282,1.7389400005340576
cg01460805,chr14,70078086,1.7389400005340576
cg04671066,chr19,45231293,1.7389400005340576
cg11156581,chr17,85621961,1.7389400005340576
cg14550429,chr13,31807217,1.7089600563049316
cg00046850,chr11,33201457,1.7089600563049316
cg08766215,chr12,56533689,1.7089600563049316
cg03291757,chr19,45231361,1.7089600563049316
cg11617475,chr8,115705975,1.7089600563049316
cg02241397,chr4,115056648,1.7089600563049316
cg06350884,chr5,139544053,1.6789799928665161
cg21242710,chr13,94877339,1.6789799928665161
cg20687703,chr13,51567452,1.6789799928665161
cg04330371,chr7,70360007,1.6789799928665161
cg02499612,chr2,33639633,1.6789799928665161
cg13163729,chr17,85621446,1.6789799928665161
cg21523490,chr19,45231291,1.6789799928665161
cg17562187,chr6,52225744,1.6789799928665161
cg18420945,chr8,115705992,1.6490000486373901
cg07933800,chr12,73045888,1.6490000486373901
cg03017497,chr8,115705977,1.6490000486373901
cg06060272,chr6,52217328,1.6490000486373901
cg04414148,chr11,96283046,1.6490000486373901
cg20766695,chr4,44703419,1.6490000486373901
cg03399957,chr17,85621443,1.6490000486373901
cg21213437,chr8,92357838,1.6490000486373901
cg23474846,chr7,70360011,1.6490000486373901
cg09955719,chr2,146223670,1.6190199851989746
cg17183991,chr14,119138468,1.6190199851989746
cg24800098,chr6,52244956,1.6190199851989746
cg13459593,chr19,45231355,1.6190199851989746
cg02040024,chr14,70079008,1.6190199851989746
cg00149071,chr19,45231453,1.6190199851989746
cg12263847,chr4,44703414,1.6190199851989746
cg02932095,chr10,42591774,1.6190199851989746
cg27144703,chr14,122476530,1.6190199851989746
cg22916990,chr11,96283040,1.5890300273895264
cg19107290,chr4,44703443,1.5890300273895264
cg16869898,chr17,85621953,1.5890300273895264
cg21126885,chr2,33639475,1.5890300273895264
cg16848740,chr6,52244948,1.5890300273895264
cg08122881,chr8,84772122,1.5890300273895264
cg16628256,chr17,85621951,1.5890300273895264
cg24690575,chr2,148044396,1.5890300273895264
cg09244212,chr10,42591941,1.5590499639511108
cg04626565,chr8,115705857,1.5590499639511108
cg02176373,chr7,137314240,1.5590499639511108
cg25066947,chr10,42591939,1.5590499639511108
cg07978595,chr2,148044405,1.5590499639511108
cg01127608,chr2,33639482,1.5590499639511108
cg25040028,chr2,74705942,1.5590499639511108
cg06695854,chr12,73045952,1.5590499639511108
cg04920773,chr11,85833415,1.5590499639511108
cg16134975,chr15,85581098,1.5590499639511108
cg03010713,chr8,92460667,1.5590499639511108
cg12973326,chr14,84446481,1.5290700197219849
cg05194315,chr9,98955995,1.5290700197219849
cg25634283,chr15,85580664,1.5290700197219849
cg26259758,chr14,122450838,1.5290700197219849
cg03051836,chr2,148044351,1.5290700197219849
cg10666730,chr15,102991052,1.5290700197219849
cg27033790,chr8,115705956,1.5290700197219849
cg04407088,chr2,147195193,1.5290700197219849
cg26541201,chr12,53253124,1.5290700197219849
cg24383002,chr8,115706010,1.5290700197219849
cg25400234,chr2,38710482,1.5290700197219849
cg11017316,chr11,33201447,1.5290700197219849
cg14427009,chr14,84446475,1.5290700197219849
cg03951173,chr14,12346212,1.4990899562835693
cg10242575,chr11,96299100,1.4990899562835693
cg19634247,chr15,102991025,1.4990899562835693
cg01752243,chr2,94241364,1.4990899562835693
cg00072485,chr11,33201442,1.4990899562835693
cg09277592,chr7,35120418,1.4990899562835693
cg22559021,chr8,84772156,1.4990899562835693
cg05784086,chr15,102991031,1.4990899562835693
cg18120675,chr17,85621894,1.4990899562835693
cg03571891,chr4,44703360,1.4990899562835693
cg04494540,chr13,31806671,1.4990899562835693
cg09093115,chr17,85621906,1.4990899562835693
cg12495249,chr4,44703351,1.4691100120544434
cg22881140,chr8,57328652,1.4691100120544434
cg05136263,chr17,85687722,1.4691100120544434
cg19912994,chr3,107458756,1.4691100120544434
cg11393669,chr11,96284633,1.4691100120544434
cg14741527,chr2,94241371,1.4691100120544434
cg04875128,chr7,63758356,1.4691100120544434
cg13775600,chr15,102991057,1.4691100120544434
cg21696089,chr7,35119643,1.4691100120544434
cg10961454,chr15,103014485,1.4691100120544434
cg06926934,chr7,70359988,1.4691100120544434
cg26767614,chr8,84771981,1.4691100120544434
cg15338812,chr15,85580659,1.4691100120544434
cg21870884,chr1,136260609,1.4691100120544434
cg07878252,chr14,122450860,1.4691100120544434
cg18257298,chr14,12345742,1.4691100120544434
cg08188894,chr9,69760080,1.4691100120544434
cg03986120,chr17,85687597,1.4691100120544434
cg03711182,chr9,89908852,1.4691100120544434
cg15221004,chr7,70359983,1.4391299486160278
cg15468631,chr9,54699776,1.4391299486160278
cg20291049,chr1,42697391,1.4391299486160278
cg19474147,chr3,66981535,1.4391299486160278
cg20222500,chr9,54699778,1.4391299486160278
cg13082524,chr7,137310259,1.4391299486160278
cg01685922,chr4,139831639,1.4391299486160278
cg21661665,chr2,148044344,1.4391299486160278
cg14537141,chr8,84772104,1.4391299486160278
cg08069628,chr2,74705952,1.4391299486160278
cg22992715,chr17,87746623,1.4391299486160278
cg12366733,chr11,96299102,1.4391299486160278
cg05675373,chr3,107458754,1.4391299486160278
cg20516274,chr6,52245401,1.4391299486160278
cg21925889,chr13,78195276,1.4391299486160278
cg22446589,chr4,44703357,1.4391299486160278
cg04004289,chr14,12345745,1.4391299486160278
cg06760710,chr11,96283020,1.4391299486160278
cg16670181,chr12,56696620,1.4391299486160278
cg18141557,chr1,42697400,1.4391299486160278
cg24340277,chr15,103014491,1.4391299486160278
cg18948962,chr12,73045963,1.4091399908065796
cg23089428,chr19,59459229,1.4091399908065796
cg03242400,chr4,44703392,1.4091399908065796
cg13445226,chr8,108794429,1.4091399908065796
cg01171212,chr2,74746513,1.4091399908065796
cg16006022,chr9,99875373,1.4091399908065796
cg15982700,chr6,52177099,1.4091399908065796
cg01580681,chr8,57322330,1.4091399908065796
cg12775921,chr9,79718811,1.4091399908065796
cg08013146,chr11,96299142,1.4091399908065796
cg05324472,chr12,14150274,1.4091399908065796
cg06744585,chr8,84772341,1.4091399908065796
cg11060413,chr6,126644785,1.4091399908065796
cg04477447,chr19,37698343,1.4091399908065796
cg11583326,chr13,78195279,1.4091399908065796
cg01533729,chr14,122450870,1.4091399908065796
cg13080172,chr12,107916663,1.4091399908065796
cg17609931,chr8,57328658,1.4091399908065796
cg18526971,chr13,78198158,1.4091399908065796
cg15517120,chr6,52217358,1.4091399908065796
cg12436766,chr11,98327285,1.3791600465774536
cg07718342,chr11,24079708,1.3791600465774536
cg21608404,chr6,126644781,1.3791600465774536
cg16995983,chr13,78198806,1.3791600465774536
cg27519177,chr1,120600057,1.3791600465774536
cg22207842,chr12,56535031,1.3791600465774536
cg14123622,chr14,102982185,1.3791600465774536
cg17435471,chr19,45151500,1.3791600465774536
cg26989101,chr3,129204506,1.3791600465774536
cg12999766,chr13,78198192,1.3791600465774536
cg26400593,chr3,66981542,1.3791600465774536
cg06163441,chr15,102991012,1.3791600465774536
cg25001103,chr2,74692533,1.3791600465774536
cg26478990,chr8,92360797,1.3791600465774536
cg21030623,chr14,122463930,1.3791600465774536
cg05584230,chr2,71546351,1.3791600465774536
cg16124830,chr15,103034897,1.3791600465774536
cg17679682,chr2,74705958,1.3791600465774536
cg17834752,chr15,72546283,1.3791600465774536
cg18502834,chr14,70077459,1.3791600465774536
cg21072342,chr15,103034895,1.3791600465774536
cg05613307,chr5,33433028,1.3791600465774536
cg17558125,chr8,84772323,1.3791600465774536
