seqnames	start	end	width	strand	pr	delta	number	Annotated.gene.symbols	Detected.Features
chr12	53961180	53961238	59	*	59.378	0.318	1		cpg_islands
chr10	101133620	101135500	1881	*	56.483	0.011	2	TLX1	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr6	1393093	1394212	1120	*	53.181	0.077	3	FOXF2	cpg_islands, cpg_shores, enhancers_fantom, introns
chr1	47439337	47439834	498	*	50.613	0.264	4	FOXD2	3UTRs, cpg_islands, exons, firstexons
chr4	8866699	8868579	1881	*	50.301	-0.004	5	HMX1	3UTRs, cpg_islands, cpg_shores, exons, introns
chr17	61454192	61454900	709	*	49.885	0.269	6	TBX4	cpg_islands, cpg_shores, introns
chr9	124015231	124015502	272	*	48.863	0.216	7	LHX2	cpg_islands, exons, firstexons, promoters
chr4	173509274	173510177	904	*	47.926	0.143	8	LOC101928409, AC093849.2	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	101226156	101230510	4355	*	46.439	0.007	9	LBX1, LBX1-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	101130983	101133329	2347	*	45.756	0.036	10	TLX1, TLX1NB	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr4	80188875	80189440	566	*	45.368	0.111	11	PRDM8, PRDM8-AS1, AC021127.1	cpg_islands, cpg_shores, introns, lncrna_gencode
chr16	56638093	56638602	510	*	45.279	0.194	12	MT1A	cpg_islands, cpg_shores, promoters
chr17	49971439	49972424	986	*	45.204	0.024	13	DLX4	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr9	122218941	122220776	1836	*	44.216	0.018	14	LHX6	cpg_islands, cpg_shores, introns
chr12	53927644	53927713	70	*	43.911	0.158	15		cpg_islands, intergenic
chr17	48581540	48582483	944	*	43.721	0.007	16	HOXB3, MIR10A, HOXB-AS3, HOXB6, AC103702.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr6	1385290	1385620	331	*	43.564	0.204	17		cpg_shores, promoters
chr5	93587865	93588582	718	*	42.096	0.171	18	NR2F1	5UTRs, cpg_islands, exons, introns
chr10	100735213	100735855	643	*	41.454	-0.002	19	PAX2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	173232099	173235460	3362	*	41.396	0.013	20	NKX2-5	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr5	135038953	135041159	2207	*	41.286	0.064	21	EPIST, PITX1-AS1, C5orf66, C5orf66-AS1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	176100134	176100707	574	*	41.202	0.114	22	HOXD12	3UTRs, cpg_islands, exons, firstexons, introns
chr2	176120392	176124787	4396	*	41.105	0.069	23	HOXD9, HOXD-AS2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27151971	27152103	133	*	41.028	0.047	24	HOXA-AS3, HOXA3, AC004080.5, AC004080.6	cpg_shores, introns, lncrna_gencode
chr10	99534155	99534393	239	*	40.708	0.117	25	NKX2-3	cpg_shores, introns
chr8	22690350	22690737	388	*	40.656	0.15	26	EGR3, LOC107986925, AC055854.1	3UTRs, cpg_islands, exons, introns, lncrna_gencode
chr7	27192036	27193522	1487	*	40.312	0.021	27	AC004080.2	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr4	173524901	173526158	1258	*	39.819	0.038	28	HAND2	3UTRs, cpg_shelves, exons, introns
chr12	53954389	53956955	2567	*	39.658	-0.006	29	HOXC12	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	135028796	135029046	251	*	39.325	0.288	30	PITX1	cpg_islands, exons
chr10	101136059	101137196	1138	*	39.316	0.098	31	TLX1	3UTRs, cpg_islands, cpg_shores, exons, introns
chr10	99534621	99537682	3062	*	39.093	0.016	32	NKX2-3	3UTRs, cpg_islands, cpg_shores, exons, intergenic, introns
chr9	124013727	124013898	172	*	38.787	0.032	33	LHX2	cpg_islands, cpg_shores, introns
chr5	93587604	93587817	214	*	38.599	0.059	34	NR2F1	cpg_islands, cpg_shores, introns
chr17	61456564	61456618	55	*	38.163	0.213	35	TBX4	cpg_islands, exons, firstexons, introns
chr9	97847690	97849234	1545	*	38.15	0.086	36	PTCSC2	cpg_islands, cpg_shores, introns, lncrna_gencode
chr7	27164160	27166414	2255	*	38.1	0.032	37	HOXA9, HOXA10-HOXA9	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr22	19758952	19759947	996	*	38.09	0.008	38	TBX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	48595842	48598853	3012	*	38.085	-0.004	39	HOXB6, HOXB-AS3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr1	110068404	110069858	1455	*	38.04	0.114	40	ALX3, STRIP1	cpg_islands, introns
chr7	27171320	27174646	3327	*	38.001	-0.017	41	HOXA10, HOXA10-AS, HOXA10-HOXA9, HOXA9	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr12	114407841	114410126	2286	*	37.95	0.072	42	TBX5, TBX5-AS1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr1	110068126	110068332	207	*	37.876	0.172	43	ALX3, STRIP1	cpg_islands, introns
chr15	45116104	45117428	1325	*	37.85	0.022	44	DUOXA1, DUOXA2	3UTRs, cpg_islands, cpg_shores, exons, introns
chr7	27185856	27186104	249	*	37.582	0.1	45	HOXA11-AS, HOXA11	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
