ch,b,e,d,bl,ez1,ez2,su,pr
chr8,121127846,121129145,1299,0,0.9620738318734576,0.9197018006686519,0.8053003257025858,0.8956919860815651
chr16,18581503,18583257,1754,0,0.8589666163748291,0.7991108228792789,0.7996827915889967,0.8192534102810348
chr2,118702071,118704629,2558,0,0.7207840421169792,0.7283044760480002,1.0,0.8163628393883265
chr8,92358460,92361065,2605,0,0.8827840501121399,0.7978195923234288,0.7139694297280932,0.798191024054554
chr8,84799135,84800719,1584,0,1.0,1.0,0.3843685896211176,0.7947895298737059
chr8,84783672,84786946,3274,0,0.8115623729528673,0.7918437470912953,0.7125580991907223,0.771988073078295
chr17,26838635,26839871,1236,0,0.6951110259424714,0.7783215703933213,0.7994487501885394,0.7576271155081106
chr5,26007020,26007479,459,0,0.7643029694943134,0.7480583768533077,0.7416739632286944,0.7513451031921052
chr16,17802323,17803595,1272,0,0.7076064646672486,0.7119159903483192,0.8319012038538611,0.7504745529564764
chr11,98326745,98329952,3207,0,0.6905202731461579,0.6783949635520725,0.8582087878062795,0.7423746748348367
chr8,121114850,121118626,3776,0,0.8235119497744267,0.7063327695149328,0.676173102744537,0.7353392740112987
chr11,85836868,85838899,2031,0,0.7092141191298172,0.6659571645058129,0.8303819970025719,0.7351844268794006
chr1,74949951,74952092,2141,0,0.7364653799381936,0.7190945329401814,0.7465786167558088,0.734046176544728
chr8,104540660,104541582,922,0,0.7375727817051093,0.762315847760972,0.6875966716141783,0.7291617670267532
chr5,33430394,33436111,5717,0,0.6713367550046968,0.6943814281193551,0.8145352236066157,0.7267511355768891
chr5,35391208,35392925,1717,0,0.7652353727492442,0.7393345079447023,0.6743884044007117,0.726319428364886
chr4,138394887,138396689,1802,0,0.6501095539437715,0.6159772414547237,0.8967994958798415,0.7209620970927789
chr17,34671189,34672500,1311,0,0.6457456940705335,0.6346070323289156,0.8772910668367883,0.7192145977454124
chr6,85189484,85191136,1652,0,0.6998823344919191,0.6894704603048476,0.7484763759457631,0.7126097235808433
chr8,91799397,91803179,3782,0,0.7000791352785065,0.7266922180897488,0.7042937166188739,0.7103550233290431
chr13,51566920,51567905,985,0,0.7894040802726514,0.6706815317413451,0.6686072171436238,0.7095642763858735
chr2,74746228,74747389,1161,0,0.6906945668322837,0.6595284422972739,0.764623738797741,0.7049489159757663
chr9,98954529,98957672,3143,0,0.7357049111109428,0.7213702944586017,0.6565002539390705,0.7045251531695383
chr8,121080065,121085521,5456,0,0.7920916920664501,0.6964364554030751,0.6181710626258654,0.7022330700317969
chr2,38709795,38712655,2860,0,0.7071505126672476,0.6714590575369848,0.7141941955393994,0.6976012552478772
chr2,104409677,104410912,1235,0,0.6551149862388617,0.6389293755816646,0.7717466986760917,0.6885970201655395
chr5,107721029,107722079,1050,0,0.7348060243665817,0.736944303461064,0.5927741360731076,0.688174821300251
chr11,82930138,82933554,3416,0,0.6826041118891947,0.6628646532896901,0.7105942494472353,0.6853543382087066
chr11,53478457,53480321,1864,0,0.6286233555519039,0.6113214897565891,0.8073813970365477,0.6824420807816801
chr8,70493078,70494815,1737,0,0.7821562220704614,0.7398501417463513,0.5202563040272368,0.6807542226146831
chr12,107915390,107917251,1861,0,0.5865133276077807,0.5749874867292213,0.8738122903274677,0.6784377015548232
chr5,33721373,33724201,2828,0,0.5334855112513517,0.5417199955755109,0.9570242568539881,0.6774099212269502
chr6,115993325,115995467,2142,0,0.6525143371515484,0.6161848632026771,0.7609821255147188,0.6765604419563148
chr3,107594631,107597021,2390,0,0.6362048747509201,0.6065639208905249,0.7819183394365673,0.6748957116926708
chr16,94082962,94087400,4438,0,0.6557822291722945,0.6297870238739738,0.7373572731282872,0.6743088420581852
chr14,70074353,70080812,6459,0,0.6825677864870734,0.657726798412669,0.6817932411088108,0.6740292753361844
chr8,75212620,75214163,1543,0,0.7232199545591266,0.6565630194082586,0.6410865426892519,0.6736231722188789
chr8,92460231,92461204,973,0,0.8095093799896296,0.7376937544215261,0.47023687029552386,0.6724800015688932
chr14,119137301,119139277,1976,0,0.6983409415777272,0.6903539074935089,0.6185664615996882,0.6690871035569748
