seqnames	start	end	width	strand	pr	delta	number	Annotated.gene.symbols	Detected.Features
chr10	101133620	101137445	3826	*	46.686	0.095	1	TLX1	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr10	101130756	101133525	2770	*	44.417	0.089	2	TLX1, TLX1NB	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48581540	48582640	1101	*	42.656	0.083	3	HOXB3, MIR10A, HOXB-AS3, HOXB6, AC103702.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	100735213	100736180	968	*	41.714	0.101	4	PAX2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr16	56637934	56638735	802	*	41.061	0.103	5	MT1A	5UTRs, cpg_islands, cpg_shores, exons, firstexons, promoters
chr8	22690466	22690518	53	*	40.25	0.432	6	EGR3, LOC107986925, AC055854.1	3UTRs, cpg_islands, exons, introns, lncrna_gencode
chr12	54046245	54048203	1959	*	39.768	0.106	7	HOXC4	cpg_islands, cpg_shores, exons, introns
chr10	101221007	101230603	9597	*	39.743	0.084	8	LBX1, LBX1-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr5	55222730	55223858	1129	*	39.344	0.114	9	MCIDAS	cpg_islands, cpg_shores, exons, introns
chr17	48596170	48598853	2684	*	39.23	0.043	10	HOXB6, HOXB-AS3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27154863	27159195	4333	*	39.127	0.031	11	HOXA7, HOXA-AS3, AC004080.4	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr16	56634798	56636918	2121	*	39.066	0.092	12	MT1JP	cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr10	99532237	99536533	4297	*	38.923	0.012	13	NKX2-3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr15	45116104	45117428	1325	*	37.85	0.095	14	DUOXA1, DUOXA2	3UTRs, cpg_islands, cpg_shores, exons, introns
chr5	135037617	135041802	4186	*	37.782	0.101	15	EPIST, PITX1-AS1, C5orf66, C5orf66-AS1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
