probeID,CpG_chrm,CpG_beg,b,ch,ez,su,pr
cg20936905,chr22,29767077.0,29767077,chr22,7.000000186963007e-05,0.0,3.5000000934815034e-05
cg00675039,chr20,45857568.0,45857568,chr20,7.999999797903001e-05,9.999999747378752e-06,4.499999886320438e-05
cg15566619,chr20,45857576.0,45857576,chr20,7.999999797903001e-05,2.9999999242136255e-05,5.4999998610583134e-05
cg18021393,chr1,145919003.0,145919003,chr1,0.00011999999696854502,9.999999747378752e-06,6.499999835796189e-05
cg09719331,chr20,45857557.0,45857557,chr20,9.999999747378752e-05,2.9999999242136255e-05,6.499999835796189e-05
cg26920587,chr17,49764331.0,49764331,chr17,0.0001500000071246177,0.0,7.500000356230885e-05
cg05208581,chr13,51584322.0,51584322,chr13,0.0001500000071246177,9.999999747378752e-06,8.000000343599822e-05
cg26652092,chr12,53379817.0,53379817,chr12,0.00018000000272877514,9.999999747378752e-06,9.500000123807695e-05
cg03987003,chr1,145918995.0,145918995,chr1,0.00018000000272877514,9.999999747378752e-06,9.500000123807695e-05
cg13931914,chr12,113221242.0,113221242,chr12,0.00018000000272877514,9.999999747378752e-06,9.500000123807695e-05
cg03872433,chr12,113221233.0,113221233,chr12,0.00018000000272877514,9.999999747378752e-06,9.500000123807695e-05
cg24228123,chr19,49676946.0,49676946,chr19,0.00011999999696854502,9.000000136438757e-05,0.0001049999991664663
cg21037773,chr19,14006659.0,14006659,chr19,0.0002699999895412475,0.0,0.00013499999477062374
cg02169098,chr22,41621289.0,41621289,chr22,0.0002699999895412475,1.9999999494757503e-05,0.0001449999945180025
cg23654971,chr10,102245486.0,102245486,chr10,0.00026000000070780516,7.000000186963007e-05,0.0001650000012887176
cg10530153,chr10,102245498.0,102245498,chr10,0.0003100000030826777,3.9999998989515007e-05,0.00017500000103609636
cg10640646,chr2,218270123.0,218270123,chr2,0.00022000000171829015,0.00013000000035390258,0.00017500000103609636
cg15979172,chr19,15379758.0,15379758,chr19,0.00033000000985339284,1.9999999494757503e-05,0.00017500000467407517
cg11308747,chr19,54137707.0,54137707,chr19,0.00033000000985339284,3.9999998989515007e-05,0.00018500000442145392
cg26831968,chr10,102245484.0,102245484,chr10,0.0003100000030826777,7.000000186963007e-05,0.0001900000024761539
cg01070250,chr1,634306.0,634306,chr1,0.00039999998989515007,0.0,0.00019999999494757503
cg00021944,chr10,102245482.0,102245482,chr10,0.0003100000030826777,9.999999747378752e-05,0.00020500000027823262
cg00922328,chr9,89311064.0,89311064,chr9,0.00039999998989515007,2.9999999242136255e-05,0.00021499999456864316
cg08428707,chr20,33811075.0,33811075,chr20,7.999999797903001e-05,0.00039000000106170774,0.00023499999952036887
cg21490561,chr3,36993333.0,36993333,chr3,0.00018000000272877514,0.0003000000142492354,0.00024000000848900527
cg10507649,chr21,42496484.0,42496484,chr21,0.0004900000058114529,0.0,0.00024500000290572643
cg04300632,chr17,7012351.0,7012351,chr17,0.0004900000058114529,0.0,0.00024500000290572643
cg22725947,chr13,51584295.0,51584295,chr13,0.0002699999895412475,0.0002300000051036477,0.0002499999973224476
cg10342614,chr19,52171731.0,52171731,chr19,0.0004900000058114529,9.999999747378752e-06,0.0002500000027794158
cg03733433,chr11,6481398.0,6481398,chr11,0.00033000000985339284,0.00016999999934341758,0.0002500000045984052
cg01408127,chr2,197453547.0,197453547,chr2,0.00033000000985339284,0.00016999999934341758,0.0002500000045984052
cg11327054,chr11,6481401.0,6481401,chr11,0.00033000000985339284,0.00016999999934341758,0.0002500000045984052
cg01817464,chr22,29767094.0,29767094,chr22,0.000539999979082495,0.0,0.0002699999895412475
cg08069712,chr19,54160060.0,54160060,chr19,0.000539999979082495,0.0,0.0002699999895412475
cg04329264,chr16,89490810.0,89490810,chr16,0.000539999979082495,1.9999999494757503e-05,0.00027999998928862624
cg23598562,chr12,53380027.0,53380027,chr12,0.00033000000985339284,0.0002300000051036477,0.0002800000074785203
cg19720917,chr19,36115318.0,36115318,chr19,0.0003699999942909926,0.00019999999494757503,0.0002849999946192838
cg15805162,chr19,20039507.0,20039507,chr19,0.00044999999227002263,0.00013000000035390258,0.0002899999963119626
cg01029575,chr19,54137701.0,54137701,chr19,0.0004900000058114529,9.000000136438757e-05,0.0002900000035879202
cg11600697,chr3,36993322.0,36993322,chr3,0.00022000000171829015,0.00039000000106170774,0.00030500000138999894
cg14563754,chr9,26947516.0,26947516,chr9,0.00033000000985339284,0.0003000000142492354,0.0003150000120513141
cg25382472,chr1,47314259.0,47314259,chr1,0.000590000010561198,0.00013000000035390258,0.0003600000054575503
cg05384413,chr15,100602374.0,100602374,chr15,0.0007200000109151006,0.0,0.0003600000054575503
cg21868703,chr1,145919020.0,145919020,chr1,0.0006399999838322401,9.999999747378752e-05,0.0003699999906530138
cg25862684,chr15,100602370.0,100602370,chr15,0.0007200000109151006,1.9999999494757503e-05,0.00037000000520492904
cg13071476,chr6,31863142.0,31863142,chr6,0.0007699999841861427,0.0,0.00038499999209307134
cg20762290,chr17,48048196.0,48048196,chr17,0.0007699999841861427,0.0,0.00038499999209307134
cg22918432,chr16,31459971.0,31459971,chr16,0.0007200000109151006,4.999999873689376e-05,0.00038500000482599717
cg09467605,chr19,2785489.0,2785489,chr19,0.0004900000058114529,0.00031999999191612005,0.00040499999886378646
cg25258233,chr6,32439792.0,32439792,chr6,0.000590000010561198,0.0002300000051036477,0.00041000000783242285
cg05686194,chr21,42893278.0,42893278,chr21,0.000590000010561198,0.0002300000051036477,0.00041000000783242285
cg26347745,chr3,129440164.0,129440164,chr3,0.000590000010561198,0.0002300000051036477,0.00041000000783242285
cg01371207,chr6,33289557.0,33289557,chr6,0.0007699999841861427,7.000000186963007e-05,0.0004199999930278864
cg02982722,chr20,45857408.0,45857408,chr20,0.00018000000272877514,0.0006699999794363976,0.00042499999108258635
cg03061024,chr3,129440156.0,129440156,chr3,0.0006500000017695129,0.00022000000171829015,0.0004350000017439015
cg04584087,chr3,129440170.0,129440170,chr3,0.0006500000017695129,0.00022000000171829015,0.0004350000017439015
cg11772764,chr21,42496492.0,42496492,chr21,0.0008800000068731606,0.0,0.0004400000034365803
cg27488751,chr21,42496497.0,42496497,chr21,0.0008800000068731606,1.9999999494757503e-05,0.00045000000318395905
cg04743947,chr12,112382410.0,112382410,chr12,0.0008800000068731606,3.9999998989515007e-05,0.0004600000029313378
cg17304878,chr17,63550537.0,63550537,chr17,0.000539999979082495,0.00039000000106170774,0.00046499999007210135
cg24265806,chr7,23014117.0,23014117,chr7,0.0007699999841861427,0.00016999999934341758,0.00046999999176478013
cg01952089,chr22,27919234.0,27919234,chr22,0.00039999998989515007,0.0005699999746866524,0.00048499998229090124
cg21026078,chr7,124929658.0,124929658,chr7,4.999999873689376e-05,0.0009200000204145908,0.0004850000095757423
cg14407075,chr12,50400790.0,50400790,chr12,0.0007699999841861427,0.00022000000171829015,0.0004949999929522164
cg25358938,chr8,30083369.0,30083369,chr8,0.000590000010561198,0.0004199999966658652,0.0005050000036135316
cg10255675,chr14,21269591.0,21269591,chr14,0.001019999966956675,9.999999747378752e-06,0.0005149999833520269
cg08856697,chr17,63550540.0,63550540,chr17,0.000539999979082495,0.0005099999834783375,0.0005249999812804163
cg00264142,chr5,146182870.0,146182870,chr5,0.001019999966956675,2.9999999242136255e-05,0.0005249999830994057
cg15704988,chr17,42388543.0,42388543,chr17,0.0007699999841861427,0.0003000000142492354,0.000534999999217689
cg24657127,chr6,30617281.0,30617281,chr6,0.0007600000244565308,0.0003100000030826777,0.0005350000137696043
cg05076775,chr14,74493472.0,74493472,chr14,0.001069999998435378,9.999999747378752e-06,0.0005399999990913784
cg23077461,chr19,57435250.0,57435250,chr19,0.0010000000474974513,7.999999797903001e-05,0.0005400000227382407
cg11755395,chr7,77122453.0,77122453,chr7,0.00107999995816499,9.999999747378752e-06,0.0005449999789561843
cg04013732,chr20,45857428.0,45857428,chr20,0.000590000010561198,0.0005099999834783375,0.0005499999970197678
cg18737667,chr14,74084801.0,74084801,chr14,0.0010999999940395355,9.999999747378752e-06,0.0005549999968934571
cg06101225,chr1,47314344.0,47314344,chr1,0.0010999999940395355,9.999999747378752e-06,0.0005549999968934571
cg07600211,chr1,145919006.0,145919006,chr1,0.0010999999940395355,9.999999747378752e-06,0.0005549999968934571
cg01225454,chr10,118342379.0,118342379,chr10,0.00107999995816499,3.9999998989515007e-05,0.0005599999785772525
cg03909529,chr11,62754213.0,62754213,chr11,0.0010999999940395355,1.9999999494757503e-05,0.0005599999967671465
cg02600515,chr11,62754223.0,62754223,chr11,0.0010999999940395355,1.9999999494757503e-05,0.0005599999967671465
cg21499909,chr1,20634051.0,20634051,chr1,0.00107999995816499,4.999999873689376e-05,0.0005649999784509419
cg14265380,chr11,63974374.0,63974374,chr11,0.0010999999940395355,3.9999998989515007e-05,0.0005699999965145253
cg10415235,chr11,63974376.0,63974376,chr11,0.0010999999940395355,3.9999998989515007e-05,0.0005699999965145253
cg12012146,chr6,138773491.0,138773491,chr6,0.0009200000204145908,0.00022000000171829015,0.0005700000110664405
cg00495415,chr12,53380010.0,53380010,chr12,0.0002699999895412475,0.0008800000068731606,0.000574999998207204
cg05908079,chr5,64769177.0,64769177,chr5,0.0007699999841861427,0.00039000000106170774,0.0005799999926239252
cg22746529,chr19,36115214.0,36115214,chr19,0.0007699999841861427,0.0004299999854993075,0.0005999999848427251
cg15771370,chr17,1716435.0,1716435,chr17,0.00033000000985339284,0.0008800000068731606,0.0006050000083632767
cg07618733,chr5,146182864.0,146182864,chr5,0.0012100000167265534,9.999999747378752e-06,0.0006100000082369661
cg08817644,chr19,20039524.0,20039524,chr19,0.0010999999940395355,0.00013000000035390258,0.000614999997196719
cg04517036,chr17,42388550.0,42388550,chr17,0.0010999999940395355,0.00016999999934341758,0.0006349999966914766
cg09234872,chr16,2155642.0,2155642,chr16,0.0007200000109151006,0.0005699999746866524,0.0006449999928008765
cg12672205,chr22,38705797.0,38705797,chr22,0.0013099999632686377,0.0,0.0006549999816343188
cg00647220,chr16,13920079.0,13920079,chr16,0.0013099999632686377,1.9999999494757503e-05,0.0006649999813816976
cg03004426,chr16,53503380.0,53503380,chr16,0.0013200000394135714,9.999999747378752e-06,0.0006650000195804751
cg05446994,chr1,20634044.0,20634044,chr1,0.0013200000394135714,9.999999747378752e-06,0.0006650000195804751
cg02788419,chr15,100602357.0,100602357,chr15,0.0013200000394135714,3.9999998989515007e-05,0.0006800000192015432
cg14204478,chr17,81239283.0,81239283,chr17,0.00107999995816499,0.00031999999191612005,0.000699999975040555
cg01450682,chr19,57435264.0,57435264,chr19,0.0013599999947473407,3.9999998989515007e-05,0.0006999999968684278
cg25973092,chr1,28259325.0,28259325,chr1,0.00026000000070780516,0.0011500000255182385,0.0007050000131130219
cg08661077,chr5,146182862.0,146182862,chr5,0.0014199999859556556,9.999999747378752e-06,0.0007149999928515172
cg11240320,chr1,40862464.0,40862464,chr1,0.0013200000394135714,0.00011000000085914508,0.0007150000201363582
cg10491993,chr16,21953090.0,21953090,chr16,0.0013099999632686377,0.00013000000035390258,0.0007199999818112701
cg03532019,chr19,18204256.0,18204256,chr19,0.0013200000394135714,0.00013000000035390258,0.000725000019883737
cg00695362,chr1,40040539.0,40040539,chr1,0.0013099999632686377,0.00016999999934341758,0.0007399999813060276
cg01337508,chr17,42388553.0,42388553,chr17,0.0013099999632686377,0.00016999999934341758,0.0007399999813060276
