probeID,CpG_chrm,CpG_beg,b,ch,ez,su,pr
cg24812837,chr10,101134362.0,101134362,chr10,586.9191284179688,683.094970703125,635.0070495605469
cg25266629,chr10,101134390.0,101134390,chr10,548.5048217773438,687.01123046875,617.7580261230469
cg04273871,chr10,101134469.0,101134469,chr10,544.1934814453125,671.8014526367188,607.9974670410156
cg07915434,chr10,101134584.0,101134584,chr10,560.4013671875,621.8855590820312,591.1434631347656
cg07416656,chr10,101134683.0,101134683,chr10,576.305419921875,597.4310913085938,586.8682556152344
cg22167789,chr19,1754780.0,1754780,chr19,519.1365966796875,642.9708251953125,581.0537109375
cg08487063,chr10,101134881.0,101134881,chr10,510.0555419921875,620.0964965820312,565.0760192871094
cg12646649,chr10,101227499.0,101227499,chr10,484.7354431152344,616.0153198242188,550.3753814697266
cg00260634,chr2,218982510.0,218982510,chr2,506.527099609375,590.6654052734375,548.5962524414062
cg11727383,chr10,101228631.0,101228631,chr10,477.2555236816406,616.8859252929688,547.0707244873047
cg04130185,chr10,101228493.0,101228493,chr10,498.0144958496094,594.3851928710938,546.1998443603516
cg25079102,chr12,114405629.0,114405629,chr12,474.2699890136719,611.7522583007812,543.0111236572266
cg12118269,chr10,101134222.0,101134222,chr10,506.527099609375,578.8108520507812,542.6689758300781
cg12634080,chr13,27975784.0,27975784,chr13,498.56719970703125,583.186767578125,540.8769836425781
cg19547319,chr10,101228235.0,101228235,chr10,493.716064453125,583.8173828125,538.7667236328125
cg02086493,chr17,48597970.0,48597970,chr17,452.09869384765625,616.4556884765625,534.2771911621094
cg06368184,chr21,36697115.0,36697115,chr21,458.3132629394531,593.9385375976562,526.1259002685547
cg14374861,chr10,101228336.0,101228336,chr10,459.68157958984375,590.7651977539062,525.223388671875
cg25542041,chr9,122219807.0,122219807,chr9,446.8619384765625,602.5177001953125,524.6898193359375
cg03465513,chr13,27975908.0,27975908,chr13,462.5446472167969,582.8897094726562,522.7171783447266
cg14346873,chr8,26043660.0,26043660,chr8,468.8243103027344,564.477294921875,516.6508026123047
cg05889234,chr10,101223307.0,101223307,chr10,470.4027404785156,562.10791015625,516.2553253173828
cg25916711,chr5,173233076.0,173233076,chr5,488.87322998046875,542.57666015625,515.7249450683594
cg03053579,chr10,101227725.0,101227725,chr10,495.1675109863281,531.2597045898438,513.2136077880859
cg26830038,chr2,218982202.0,218982202,chr2,453.546875,572.8287353515625,513.1878051757812
cg04691173,chr10,99535168.0,99535168,chr10,461.0280456542969,563.8880004882812,512.4580230712891
cg02084669,chr14,74240656.0,74240656,chr14,449.1866149902344,559.860107421875,504.5233612060547
cg19923650,chr5,173232726.0,173232726,chr5,481.06396484375,525.5079345703125,503.28594970703125
cg19229344,chr10,99534885.0,99534885,chr10,448.4109191894531,556.9172973632812,502.6641082763672
cg17727929,chr21,36697037.0,36697037,chr21,441.50482177734375,555.8028564453125,498.6538391113281
cg24641276,chr5,171316710.0,171316710,chr5,470.543212890625,526.7314453125,498.6373291015625
cg26986541,chr7,155451351.0,155451351,chr7,464.88690185546875,530.8413696289062,497.8641357421875
cg00889398,chr13,27927951.0,27927951,chr13,464.4615783691406,529.9024047851562,497.18199157714844
cg08283882,chr8,26043500.0,26043500,chr8,428.3672180175781,564.7622680664062,496.5647430419922
cg08985029,chr12,114405490.0,114405490,chr12,461.82861328125,528.6903076171875,495.25946044921875
cg08848140,chr9,122219738.0,122219738,chr9,399.84014892578125,589.2072143554688,494.523681640625
cg03843000,chr12,114409162.0,114409162,chr12,467.1711730957031,521.8594970703125,494.5153350830078
cg23980730,chr19,1749504.0,1749504,chr19,498.7764892578125,489.360107421875,494.06829833984375
cg06795527,chr7,27205398.0,27205398,chr7,452.0758056640625,535.99658203125,494.03619384765625
cg08151857,chr17,48614457.0,48614457,chr17,449.8125,536.3572387695312,493.0848693847656
cg16249035,chr12,114405684.0,114405684,chr12,416.3789367675781,569.7269897460938,493.05296325683594
cg23108709,chr2,218982413.0,218982413,chr2,452.0628662109375,532.7772216796875,492.4200439453125
cg04975330,chr10,99535220.0,99535220,chr10,450.4282531738281,533.86083984375,492.14454650878906
cg04362586,chr2,45004642.0,45004642,chr2,415.3598327636719,562.9642944335938,489.1620635986328
cg25856018,chr10,101132121.0,101132121,chr10,463.5586853027344,514.4830932617188,489.02088928222656
cg10143067,chr10,117132911.0,117132911,chr10,428.4418640136719,547.7421264648438,488.0919952392578
cg00741609,chr10,101134167.0,101134167,chr10,452.3941345214844,522.3294677734375,487.36180114746094
cg14784847,chr3,128490408.0,128490408,chr3,420.93890380859375,550.9876708984375,485.9632873535156
cg13808674,chr3,128490475.0,128490475,chr3,424.8069152832031,546.2615356445312,485.5342254638672
cg21538208,chr4,4862760.0,4862760,chr4,435.6622314453125,532.7772216796875,484.2197265625
cg13795948,chr9,130663355.0,130663355,chr9,454.0137023925781,512.5523681640625,483.2830352783203
cg09408917,chr21,36697020.0,36697020,chr21,424.3641052246094,541.082275390625,482.7231903076172
cg26809635,chr12,53961302.0,53961302,chr12,454.12310791015625,507.7073059082031,480.9152069091797
cg03078269,chr12,53961189.0,53961189,chr12,421.7470397949219,538.1864013671875,479.9667205810547
cg07664005,chr5,173244064.0,173244064,chr5,409.9867248535156,548.7540283203125,479.37037658691406
cg23358612,chr7,1235621.0,1235621,chr7,417.7244567871094,539.0969848632812,478.4107208251953
cg04422562,chr7,155454474.0,155454474,chr7,420.9151306152344,534.96826171875,477.9416961669922
cg05829782,chr14,74241207.0,74241207,chr14,452.5496520996094,502.9366455078125,477.74314880371094
cg23528705,chr7,1235615.0,1235615,chr7,411.9183654785156,542.4982299804688,477.2082977294922
cg06721255,chr12,114441071.0,114441071,chr12,416.2960510253906,537.8673095703125,477.08168029785156
cg14344102,chr6,99606940.0,99606940,chr6,444.764404296875,509.2945251464844,477.0294647216797
cg10512745,chr1,50418807.0,50418807,chr1,433.857666015625,519.1548461914062,476.5062561035156
cg11665991,chr1,50427796.0,50427796,chr1,396.6524658203125,554.3916015625,475.52203369140625
cg01072217,chr7,1235846.0,1235846,chr7,414.3182067871094,536.5570678710938,475.43763732910156
cg03964958,chr2,176099991.0,176099991,chr2,400.0301818847656,550.430908203125,475.2305450439453
cg22459630,chr15,67828689.0,67828689,chr15,447.3215637207031,503.1083068847656,475.2149353027344
cg00579292,chr6,99607162.0,99607162,chr6,445.6407775878906,504.0680847167969,474.85443115234375
cg19122389,chr20,21706739.0,21706739,chr20,437.3103332519531,512.2814331054688,474.79588317871094
cg05603527,chr2,70904498.0,70904498,chr2,454.894775390625,492.21136474609375,473.5530700683594
cg26946259,chr2,118841968.0,118841968,chr2,442.68206787109375,503.2452392578125,472.9636535644531
cg10759602,chr6,1393439.0,1393439,chr6,422.3609924316406,523.4248046875,472.8928985595703
cg06911121,chr12,114409358.0,114409358,chr12,428.4230041503906,515.5355224609375,471.97926330566406
cg13349346,chr13,27976051.0,27976051,chr13,434.721435546875,508.5946960449219,471.65806579589844
cg10999413,chr10,101132373.0,101132373,chr10,440.30523681640625,502.5450439453125,471.4251403808594
cg20194314,chr13,27928922.0,27928922,chr13,419.39337158203125,523.2625122070312,471.32794189453125
cg16871763,chr8,11680399.0,11680399,chr8,451.1560363769531,489.63421630859375,470.39512634277344
