seqnames	start	end	width	strand	pr	delta	number	Annotated.gene.symbols	Detected.Features
chr5	173232508	173233482	975	*	51.747	0.079	1	NKX2-5	3UTRs, cpg_islands, cpg_shores, exons, introns
chr5	174731549	174732610	1062	*	49.387	0.434	2		cpg_islands, cpg_shores, intergenic
chr2	176121878	176124064	2187	*	48.562	-0.038	3	HOXD9, HOXD-AS2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr4	173509007	173510177	1171	*	47.255	0.103	4	LOC101928409, AC093849.2	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27204750	27205804	1055	*	47.051	0.052	5	HOTTIP	cpg_islands, cpg_shores, exons, lncrna_gencode, promoters
chr1	119006228	119007388	1161	*	45.141	0.361	6		cpg_islands, cpg_shores, intergenic
chr17	61453990	61454983	994	*	44.6	0.582	7	TBX4	cpg_islands, cpg_shores, introns
chr2	118856610	118858374	1765	*	41.595	0.033	8		cpg_islands, cpg_shores, intergenic
chr16	56638038	56638735	698	*	41.528	0.027	9	MT1A	5UTRs, cpg_islands, cpg_shores, exons, firstexons, promoters
chr17	48596710	48598691	1982	*	41.485	0.017	10	HOXB6, HOXB-AS3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr20	21705141	21708251	3111	*	41.306	0.167	11	PAX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	114439915	114441099	1185	*	40.896	0.368	12		cpg_islands, cpg_shores, intergenic
chr4	4865757	4867678	1922	*	40.187	0.135	13		cpg_islands, intergenic
chr10	101221007	101230510	9504	*	39.844	0.06	14	LBX1, LBX1-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr7	27242067	27246456	4390	*	39.302	0.096	15	EVX1, EVX1-AS	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	27192557	27193248	692	*	38.917	0.273	16	AC004080.2	cpg_islands, exons, firstexons, introns, lncrna_gencode
chr1	110068120	110069308	1189	*	38.378	-0.031	17	ALX3, STRIP1	cpg_islands, introns
chr17	49971349	49973696	2348	*	37.062	0.123	18	DLX4	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	176156875	176158581	1707	*	36.637	0.17	19	HOXD3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	176151438	176152624	1187	*	36.453	0.479	20	HOXD4, HOXD3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr7	27155553	27157377	1825	*	36.453	0.019	21	HOXA7, HOXA-AS3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr22	19754950	19757174	2225	*	36.053	0.065	22	TBX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	173242882	173245958	3077	*	35.932	0.023	23		cpg_islands, cpg_shores, exons, firstexons, intergenic, promoters
chr1	47433479	47434830	1352	*	35.814	-0.09	24	FOXD2-AS1	cpg_islands, cpg_shores, exons, firstexons, lncrna_gencode, promoters
chr7	27102049	27103595	1547	*	35.726	0.068	25	HOXA2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr17	48580357	48582917	2561	*	35.44	0.36	26	HOXB3, MIR10A, HOXB-AS3, HOXB6, AC103702.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr11	64291077	64293002	1926	*	34.866	0.037	27	KCNK4, KCNK4-TEX40, AP001453.3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	61456519	61458589	2071	*	34.68	0.748	28	TBX4	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns
chr17	61395934	61401099	5166	*	34.515	0.039	29	TBX2, LOC101927855, TBX2-AS1, AC005746.2	5UTRs, cpg_islands, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr11	44304463	44306186	1724	*	34.301	0.243	30	ALX4	cpg_islands, cpg_shores, enhancers_fantom, introns
chr4	173521757	173523166	1410	*	33.656	0.044	31		cpg_islands, cpg_shores, enhancers_fantom
chr11	31803717	31805565	1849	*	33.59	0.036	32	PAX6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	118835377	118836408	1032	*	33.428	0.021	33		cpg_islands, cpg_shores, promoters
chr6	1388786	1391548	2763	*	33.421	-0.003	34	FOXF2, MIR6720	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
